RequestID,Date,Time,IP,Protocol,Method,Scale,TileRow,TileColumn,URI,Status,Bytes,TimeTaken,Referer,UserAgent,Cookie,DateNumber
8740,9/3/2013,39:57.0,-,0,0,10,366,529,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/10/366/529,200,21448,0,-,"ArcGISiOS-10.1.1/6.1.2/iPad3,6",-,3
8741,9/3/2013,39:57.0,-,0,0,10,368,529,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/10/368/529,200,28450,1,-,"ArcGISiOS-10.1.1/6.1.2/iPad3,6",-,3
8742,9/3/2013,39:57.0,-,0,0,10,368,534,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/10/368/534,200,27239,1,-,"ArcGISiOS-10.1.1/6.1.2/iPad3,6",-,3
8743,9/3/2013,39:57.0,-,0,0,19,188474,318941,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/19/188474/318941,200,2821,0,-,Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16,-,3
8744,9/3/2013,39:57.0,-,0,0,4,4,11,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/4/4/11,200,15066,1,-,Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.16,-,3
8745,9/3/2013,39:57.0,-,0,0,4,3,11,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/4/3/11,200,16789,1,-,Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.16,-,3
8746,9/3/2013,39:57.0,-,0,0,4,7,2,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/4/7/2,200,3860,0,-,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.62 Safari/537.36",-,3
8747,9/3/2013,39:57.0,-,0,0,4,6,4,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/4/6/4,200,12977,0,-,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.62 Safari/537.36",-,3
8748,9/3/2013,39:57.0,-,0,0,19,188472,318942,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/19/188472/318942,200,2821,0,-,Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16,-,3
8749,9/3/2013,39:57.0,-,0,0,4,7,5,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/4/7/5,200,10528,0,-,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.62 Safari/537.36",-,3
8750,9/3/2013,39:57.0,-,0,0,15,12311,9646,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/15/12311/9646,200,28407,1,-,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.62 Safari/537.36",-,3
8751,9/3/2013,39:57.0,-,0,0,16,24641,19293,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/16/24641/19293,200,19120,1,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:23.0) Gecko/20100101 Firefox/23.0,-,3
8752,9/3/2013,39:57.0,-,0,0,16,24641,19295,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/16/24641/19295,200,19715,1,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:23.0) Gecko/20100101 Firefox/23.0,-,3
8753,9/3/2013,39:57.0,-,0,0,5,13,19,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/5/13/19,200,18370,0,-,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.62 Safari/537.36",-,3
8754,9/3/2013,39:57.0,-,0,0,5,11,20,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/5/11/20,200,46031,1,-,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.62 Safari/537.36",-,3
8755,9/3/2013,39:57.0,-,0,0,5,11,19,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/5/11/19,200,40366,3,-,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.62 Safari/537.36",-,3
8756,9/3/2013,39:57.0,-,0,0,16,24832,19119,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/16/24832/19119,200,24066,1,-,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727; InfoPath.1; MS-RTC LM 8),-,3
8757,9/3/2013,39:57.0,-,0,0,15,10895,16373,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/15/10895/16373,200,23057,1,-,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.62 Safari/537.36",-,3
8758,9/3/2013,39:57.0,-,0,0,15,12311,9678,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/15/12311/9678,200,20264,1,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.0,-,3
8759,9/3/2013,39:57.0,-,0,0,15,12309,9678,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/15/12309/9678,200,23055,1,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.0,-,3
8760,9/3/2013,39:57.0,-,0,0,18,128931,76251,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/18/128931/76251,200,2821,1,-,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.62 Safari/537.36",-,3
8761,9/3/2013,39:57.0,-,0,0,18,128931,76253,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/18/128931/76253,200,2821,0,-,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.62 Safari/537.36",-,3
